Schedule,SLC,Heading,Description,Section Description
10,10 0831 01,Deferred Revenue Earned (Canada Community - Building Fund) (Federal Gas Tax),"Removed line, please refer to FIR Instructions",Minor Changes:
10,10 1421 01,Building Permits,Report all building permit revenue on this line.,Minor Changes:
12,12 0460 07,Provincial Offences Act (POA),Report POA used for tangible capital asset acquisitions.,Minor Changes:
40,40 xxxx 05,Rents and Financial Expenses & Accretion Expense,Column heading modified to include accretion/ARO expense.,Minor Changes:
60,60 1047 01,Deferred Revenue Earned (Canada Community - Building Fund) (Federal Gas Tax),"Removed line, please refer to FIR Instructions",Minor Changes:
60,60 1048 01,Deferred Revenue Earned (Canada Community - Building Fund For Capacity Building),"Removed line, please refer to FIR Instructions",Minor Changes:
70,70 2411 01,Prepaid Property Taxes,Report prepaid property taxes on this line.,Minor Changes:
70,70 6432 01,Accumulated Remeasurement Gains (Losses),Report accumulated remeasurement gains (losses) on this line.,Minor Changes:
74C,74 3021 xx,Recovered from Development Charges,Report debt charges paid from development charges,Minor Changes:
74E,74 xxxx 02,Transfer of Solid Waste Landfill Liability,Transfer of Solid Waste Landfill Liability column no longer is required.,Minor Changes:
80A,80 1510 01,"Losses Due to Structural Fires, Averaged Over 3 Yrs. (2022 -2024)","Removed data line, eliminate duplicate reporting.",Minor Changes:
